ind.name,reads,vcfname,loci,box.and.sample.number,unique.identifier,TortoiseNumber,Location,Site,most.recent.capture,oldest.capture,age.according.to.recaps,oldest.estimate.capture,true.age,true.age.days,birthday,lat,long,Site.fixed,dummypop,Site.fixed.simplified,notes
GOPH011,2621222,GOPH011001,16556,1.02_340,Conecuh_4_340,340,Conecuh,4,6/1/19,6/1/19,0,>17,17,6205,6/5/02,31.04029,-86.68408,4,dummy,4,
GOPH012,3779389,GOPH012001,54762,1.03_275,Conecuh_4_275.2,275.2,Conecuh,4,6/4/19,6/30/16,2.926762491,21,21,7665,6/9/98,31.03808,-86.68786,4,dummy,4,
GOPH013,3051866,GOPH013001,39318,1.04_339,Conecuh_4_339,339,Conecuh,4,5/31/19,5/31/19,0,old,20,7300,6/5/99,31.03831,-86.68391,4,dummy,4,
GOPH014,2536909,GOPH014001,26112,1.06_350,Conecuh_2_350,350,Conecuh,2,NA,NA,NA,NA,NA,NA,NA,31.10646,-86.52593,2,dummy,2,
GOPH015,2334710,GOPH015001,21754,1.07_73,Conecuh_4_73,73,Conecuh,4,5/28/19,7/14/92,26.86926762,old,26.86926762,9807,7/21/92,31.0376,-86.68585,4,dummy,4,
GOPH016,4056291,GOPH016001,55137,1.09_354,Conecuh_3_354,354,Conecuh,3,6/17/19,6/17/19,0,old,20,7300,6/22/99,31.03827,-86.64347,3,dummy,3,
GOPH017,2827657,GOPH017001,29282,1.1_16-66,Conecuh_4_66,66,Conecuh,4,5/26/19,7/8/92,26.88021903,old,26.88021903,9811,7/15/92,31.03712,-86.68609,4,dummy,4,
GOPH018,2862015,GOPH018001,34671,1.11_306,Conecuh_4_306.2,306.2,Conecuh,4,6/3/19,6/4/17,1.995893224,8,8,2920,6/5/11,31.03937,-86.68656,4,dummy,4,
GOPH019,3087281,GOPH019001,33896,1.12_344,Conecuh_4_344,344,Conecuh,4,6/4/19,6/4/19,0,2,2,730,6/4/17,31.03988,-86.68679,4,dummy,4,
GOPH020,3244026,GOPH020001,38344,1.13_103?,Conecuh_4_133.1,133.1,Conecuh,4,6/9/19,7/25/93,25.87268994,old,25.87268994,9444,7/31/93,31.03856,-86.68742,4,dummy,4,
GOPH021,3310099,GOPH021001,40178,1.14_342,Conecuh_4_342,342,Conecuh,4,6/2/19,6/2/19,0,6,6,2190,6/3/13,31.04093,-86.68473,4,dummy,4,
GOPH022,3130181,GOPH022001,25994,1.15_352,Conecuh_3_352,352,Conecuh,3,6/15/19,6/15/19,0,18,18,6570,6/19/01,31.04074,-86.64223,3,dummy,3,
GOPH023,3080350,GOPH023001,28859,1.16_108,Conecuh_3_108,108,Conecuh,3,6/15/19,9/9/92,26.76249144,old,26.76249144,9768,9/16/92,31.040579,-86.641526,3,dummy,3,
GOPH024,4838860,GOPH024001,53777,1.17_255,Conecuh_3_255,255,Conecuh,3,6/9/19,7/26/15,3.871321013,19,19,6935,6/13/00,31.04028,-86.64142,3,dummy,3,
GOPH025,5461202,GOPH025001,65017,1.18_254,Conecuh_3_254,254,Conecuh,3,6/15/19,7/15/15,3.917864476,20,20,7300,6/20/99,31.04085,-86.64366,3,dummy,3,
GOPH026,4409689,GOPH026001,52173,1.19_271,Conecuh_4_271,271,Conecuh,4,6/3/19,6/28/16,2.929500342,6,6,2190,6/4/13,31.04065,-86.68613,4,dummy,4,
GOPH027,3712830,GOPH027001,47316,1.2_253,Conecuh_3_253,253,Conecuh,3,6/12/19,7/24/15,3.885010267,9,9,3285,6/14/10,31.03906,-86.64192,3,dummy,3,
GOPH028,3672222,GOPH028001,45046,1.21_84,Conecuh_4_84,84,Conecuh,4,5/29/19,7/6/92,26.89390828,>20,20,7300,6/3/99,31.03904667,-86.68455667,4,dummy,4,
GOPH029,3399553,GOPH029001,42827,1.22_256,Conecuh_3_256,256,Conecuh,3,6/17/19,7/27/15,3.890485969,old,20,7300,6/22/99,31.04021,-86.641597,3,dummy,3,
GOPH030,3649014,GOPH030001,56988,1.23_250,Conecuh_3_250,250,Conecuh,3,6/16/19,7/22/15,3.901437372,9,9,3285,6/18/10,31.0406,-86.64201,3,dummy,3,
GOPH031,3891956,GOPH031001,54015,1.24_346,Conecuh_4_346,346,Conecuh,4,6/9/19,6/9/19,0,7,7,2555,6/10/12,31.03961,-86.68552,4,dummy,4,
GOPH032,5964560,GOPH032001,77851,1.25_351,Conecuh_3_351,351,Conecuh,3,6/15/19,6/15/19,0,old,20,7300,6/20/99,31.03961,-86.642728,3,dummy,3,
GOPH033,4427223,GOPH033001,58518,1.26_353,Conecuh_3_353,353,Conecuh,3,6/16/19,6/16/19,0,9,9,3285,6/18/10,31.0385,-86.64323,3,dummy,3,
GOPH034,4292570,GOPH034001,58769,1.27_305,Conecuh_4_305.2,305.2,Conecuh,4,6/9/19,6/4/17,2.012320329,old,20,7300,6/14/99,31.04016,-86.6852,4,dummy,4,
GOPH035,2768555,GOPH035001,22980,1.28_78,Conecuh_4_78,78,Conecuh,4,6/9/19,7/14/92,26.90212183,old,26.90212183,9819,7/21/92,31.03878,-86.6858,4,dummy,4,
GOPH036,3562494,GOPH036001,39902,1.29_280,Conecuh_4_280,280,Conecuh,4,6/9/19,7/1/16,2.937713895,13,13,4745,6/12/06,31.03932,-86.68659,4,dummy,4,
GOPH037,3438300,GOPH037001,35577,1.3_341,Conecuh_4_341,341,Conecuh,4,6/1/19,6/1/19,0,?,0,0,6/1/19,31.04002,-86.68517,4,dummy,4,
GOPH038,3446107,GOPH038001,31014,1.31_304,Conecuh_4_304.2,304.2,Conecuh,4,6/3/19,6/4/17,1.995893224,19,19,6935,6/7/00,31.03943,-86.68414,4,dummy,4,
